ProjectId,ProjectName,Title,Description,Role
66937,OpenSwitch,Enhancing password encryption for vtysh,Detailed Description: vtysh is using a weak password encryption (DES) algorithm. Use a better more secured encryption algorithm.Release window: EpazoteMy corporation has approved this submittal: Pending,Stakeholder
66937,OpenSwitch,REST: Recursive GET support,"Introduce support for a 'depth' query parameter on GET requests to allow retrieving the full representation of referenced resources as part of the same HTTP response.For example, a regular GET request for the list of ports returns an array of port URIs. With this feature the GET request could include a '?depth=1' parameter to return an array with the full representation of each port instead of just the URIs. Increasing the 'depth' parameter value would cause the next level of embedded references (URIs) to be recursively included in the response.See the documented REST API for more information: http://api.openswitch.net/rest/dist/index.htmlRelease Window: CilantroMy corporation has approved this submittal: Completed",Stakeholder
66937,OpenSwitch,DCB support: Priority-based flow control (PFC),"Currently OpenSwitch lacks support of DCB standards, such as PFC, ETS or DCBX. This proposal covers DCBX and PFC, where DCBX is in fact an extension to LLDP (new TLVs). Support of DCBX would also require to add/updte CLI in LLDP daemon. There were initial discussions http://lists.openswitch.net/pipermail/ops-dev/2015-November/000492.html and http://lists.openswitch.net/pipermail/ops-dev/2015-December/000562.htmlRelease Window: DillMy corporation has approved this submittal: N/A",Stakeholder
66937,OpenSwitch,LAG: Show Run,Adds Lag configuration into show run command outputRelease Window: CilantroMy corporation has approved this submittal: Completed,Stakeholder
66937,OpenSwitch,REST: PATCH method support,"Introduce support for HTTP PATCH method as specified in RFC 5789 (https://tools.ietf.org/html/rfc5789) using the JSON patch document format described in RFC 6902 (https://tools.ietf.org/html/rfc6902).For example, with this feature a user could enable system statistics by submitting the following PATCH request:PATCH <switch ip>:8091/rest/v1/system[{""op"": ""add"", ""path"": ""/other_config/enable-statistics"", ""value"": ""true""}]See the documented REST API for more information: http://api.openswitch.net/rest/dist/index.htmlAre you a corporate contributor: YesCorporation: HPEHave you signed a CLA: YesMy corporation has approved this submittal: Completed",Stakeholder
66937,OpenSwitch,CLI Infra - support for command separated lists and ranges in some CLI commands,"Detailed Description:When adding VLANs to interfaces, we cannot issue a VLAN range to be applied to an interface. Further, there is no comma separated list supported for working with multiple interfaces. This was a defect logged in Basil that is being treated like an enhancement request. This user story targets this change.Release window: DillAre you a corporate contributor: YesCorporation: HPEHave you signed a CLI: YesMy corporation has approved this submittal: Completed",Stakeholder
66937,OpenSwitch,"REST: Filtering, sorting, pagination","Introduce support for filtering, sorting, and pagination of collection resources on GET requests to allow retrieving an ordered subset of entries matching a given criteria.- Filtering: an optional query parameter with the same name as each of the JSON fields of the given collection resource type is available in order to perform an exact text match.- Sorting: an optional 'sort' query parameter is available to specify a comma separated list of JSON fields to sort the entries by. A dash '-' prefix on a given field name makes the sort descending for the corresponding JSON field.- Pagination: once filtering and sorting have produced a result set an optional 'offset' query parameter is available to specifiy the index (zero-based) of the first result set entry to return, and an optional 'limit' query parameter is available to specify the number of entries to return.For example, with this feature a user could retrieve the list of the first 10 interfaces sorted ascending by name, with only those whose admin_state is up: "".../interfaces?admin_state=upsort=nameoffset=0limit=10"".See the documented REST API for more information: http://api.openswitch.net/rest/dist/index.htmlRelease Window: CilantroMy corporation has approved this submittal: Completed",Stakeholder
66937,OpenSwitch,Tunneling: Support VxLAN on currently supported HW - AS5712/AS6712/AS7712,This proposal is to add support for VxLAN on the currently supported hardware platforms in Dill (5712/6712/7712).Release window: DillAre you a corporate contributor: YesCorporation: HPEHave you signed a CLA: YesMy corporation has approved this submittal: Completed,Stakeholder
66937,OpenSwitch,REST: User management,"Introduce support for user management operations similar to what is currently available in CLI: list, add, update, and remove users.- GET responses must not contain user password.- A user should not be allowed to remove himself.- A user should be able to update his password.See the documented REST API under /system/users for more information: http://api.openswitch.net/rest/dist/index.htmlRelease Window: CilantroMy corporation has approved this submittal: Completed",Stakeholder
66937,OpenSwitch,Support HW VTEP on OPS,This proposal is to add support for HW VTEP with OVN controller over VxLAN tunnels in OPS.Release window: EpazoteAre you a corporate contributor: YesCorporation: HPEHave you signed a CLA: YesMy corporation has approved this submittal: Completed,Stakeholder
