ProjectId,ProjectName,Title,Description,Role
52931,Distll,Home Feed,"Cronological feed.For the onboarding, the current partner app determines content in the home feed (sources, topics and categories).",Product Owner
52931,Distll,Purchase Flow - Product Variants: Stop Showing Variants with only one option,,iOS Developer
52931,Distll,Add the ability to upload multiple medias for sources,"Sources should be able to hold a set of up to 5 pictures each. There will be an interface on the AdminUI for this upload, that will allow Distll to add images of at least a size and resolution and in a given series of formats.Given the Source add pageWhen  the user hovers over the placeholders to upload the imagesThen  a text appears informing that only jpeg and png images of at least 900*600 are acceptedGiven the Source add pageWhen  the user tries to upload an image that's not of the acepted formatsThen  it's warned that the image is not of the acepted size or formatand   the image is rejected",Backend Developer
52931,Distll,Sprint 23 bugs,,iOS Developer
52931,Distll,Optimize home feed and discover section response time,,Backend Developer
52931,Distll,[ADMIN-UI] Renew source credential,"Admin user should  be able to renew global credentials when expired or not initialized .For now, this only applies for **instagram**.**Preconditions**:-Admin user should be logged in with instagram account (the one that manages global instagram app).-Instagram app should be configured [this way](https://docs.google.com/a/fdvsolutions.com/document/d/1It6j4a2QicbbfAeC-2IrqeI_Wwa1BPRMhanbo1_gbnQ/edit?usp=sharing ""instagram config"")-When renewing credential admin user will be redirected to instagram autorization page and will have to authorize this request. Screen will look like [this](https://drive.google.com/a/fdvsolutions.com/file/d/0B3SMgi60fwDkSk9EMXV6VTFZMlk/view?usp=sharing """")**Development details:**-Credentials have new attribute called ""expired"" to know if we need to renew credential or not-Credentials will have ""renew_url"" property under data field so renew button will need to redirect to that url replacing redirect_uri parameter with corresponding one and adding source_type_id attribute-[Instagram documentation](https://www.instagram.com/developer/authentication/ """")-If there was no problem renewing credential, user should see a green message saying for example ""Instagram credentials successfully updated"". If there was an error, you will receive ""error"" parameter under url, and also, ""error_description"". So we should show a red message saying ""There was an error trying to renew Instagram credential. Error details: <error_description>""**Test cases**:https://docs.google.com/a/fdvsolutions.com/document/d/1ZJb4r3NkcHM49hMDF0KPi8E52A4UMYfHs-l09JIyQo4/edit?usp=sharing",Backend Developer
52931,Distll,IOS - Sprint 24 Bugs Part 1,,iOS Developer
52931,Distll,Sprint 24 bugs Backend + Admin UI,,Backend Developer
52931,Distll,Make a switch to transite from a Distll Admin to a Brand Admin,The goal of this US is implement the transition to a Brand Admin before implementing any Brand specific feature,Backend Developer
52931,Distll,Create PreProduction environment,As part of this item we have:* setup servers* setup de deployment pipeline* setup autoscaling,Backend Developer
52931,Distll,Beautiful Losers - Only Twitter content is seen by default,I think this is happening because of how everything was injested. Probably we will need to give random upload dates to articles to make them apear randomly,Backend Developer
