ProjectId,ProjectName,Title,Description,Role
125501,Websites Durable Team,Bug 1456502 - Stub Attribution Parameters For Direct Traffic,https://bugzilla.mozilla.org/show_bug.cgi?id=1456502,Back End Developer
125501,Websites Durable Team,[Growth] 3 page variations for xv=portland,https://bugzilla.mozilla.org/show_bug.cgi?id=1455444AC:*   3 'new' variations with content aligning to campaign,Front End Developer
125501,Websites Durable Team,Download button in the nav on /firefox/mobile/ downloads Firefox for desktop,https://bugzilla.mozilla.org/show_bug.cgi?id=1429849,Front End Developer
125501,Websites Durable Team,[Mozilla][Homepage] Experiment write up (mana page),[Data collection requirements doc](https://docs.google.com/document/d/1naIgAZTrgPuoaTiyAZnJRL6JTN3rQS43Dr2Vo4rsviM/edit),"Advocate (Analytics, SEO, Retention)"
125501,Websites Durable Team,[Growth] Test Berlin page vs. /new vs. /new w. Berlin bg and hero image,https://mana.mozilla.org/wiki/display/EN/Berlin+campaign+landing+page+test,Front End Developer
125501,Websites Durable Team,Lazy load the players,Lazy load the players as consumers scroll to ensure the page doesn’t continue getting slower and slower as we add episodes.,Front End Developer
125501,Websites Durable Team,Launch user survey on IRL site,,Front End Developer
125501,Websites Durable Team,[Retention] What's New Page for 60 Release,"https://bugzilla.mozilla.org/show_bug.cgi?id=1457024[Brief (4/20)](https://docs.google.com/document/d/1kq3y_5ysMZcDzqEsHBVVPnf8a5coo5WJJ8UQHiJH3Vc/edit?ts=5ad69b67#)AC:*   UI Tour -  detect ""[Total number of connected devices](https://dxr.mozilla.org/mozilla-central/source/browser/components/uitour/UITour-lib.js#519)"" in place (show conditional content)*   Content QAed and live by May 9th (60.0 Release)",Front End Developer
125501,Websites Durable Team,Bug 1438075 - 2017 EEO-1,https://bugzilla.mozilla.org/show_bug.cgi?id=1438075Add the new EE0-1 for 2017 to mozilla.org,Front End Developer
125501,Websites Durable Team,[Retention][Testing #3] vertical layout a/b test on /firstrun,https://bugzilla.mozilla.org/show_bug.cgi?id=1451049[manapage test write up](https://mana.mozilla.org/wiki/pages/viewpage.action?pageId=72786918),"Advocate (Analytics, SEO, Retention)"
125501,Websites Durable Team,[Retention][Testing #2] iframeless Fx Account 'form' (single field entry of email),https://bugzilla.mozilla.org/show_bug.cgi?id=1446023AC:- TBD,Front End Developer
125501,Websites Durable Team,[Content Strategy] Blog to Magazine / Publishing for Engagement -,https://docs.google.com/document/d/1WbEYo8U5z1y2FjiruNv-KMI_CLsAzFtUzlV-KHKVj8I/edit#heading=h.79krrg90fjvd,"Advocate (Analytics, SEO, Retention)"
125501,Websites Durable Team,Bug 1454271 - [Growth] https://blog.mozilla.org/firefox/ - make download button persistent,https://bugzilla.mozilla.org/show_bug.cgi?id=1454271,Front End Developer
125501,Websites Durable Team,Remove dates from URL file path for blogs,"[bugzilla.mozilla.org/show_bug.cgi?id=1385422](https://bugzilla.mozilla.org/show_bug.cgi?id=1385422)Acceptance Criteria:*   Change global setting to update every permalink.*   Create a single regex rule to redirect all those URLs to their new dateless equivalents.The date in a URL doesn't do anything for SEO but it does help to ensure uniqueness in the event two posts have the same slug. If we update the global permalink rules to remove the date and someone attempts to create a new post with the same slug as an existing post, WordPress will automatically add a '-2' at the end to force uniqueness.",Front End Developer
125501,Websites Durable Team,[Expedite] - [Growth] Facebook Container /new variation page,https://bugzilla.mozilla.org/show_bug.cgi?id=1449758AC:- set URL to: /firefox/facebookcontainer- Remove <noindex> tag so this page can rank in SERP,Front End Developer
125501,Websites Durable Team,Home page redesign A/B test,[bugzilla.mozilla.org/show_bug.cgi?id=1443566](https://bugzilla.mozilla.org/show_bug.cgi?id=1443566)[Test document](https://docs.google.com/document/d/1Hbd2o-InIUd-hjYEDmwzMvxJQfdXlFZL00kGFpPSZMw/edit?ts=5ad4cc0c#heading=h.8luv5gsnsxfq),Front End Developer
125501,Websites Durable Team,[Growth] Berlin city campaign /new variation,[bugzilla.mozilla.org/show_bug.cgi?id=1447445](https://bugzilla.mozilla.org/show_bug.cgi?id=1447445)AC:- Variation on waitface template- Must be live before April 16th,Front End Developer
125501,Websites Durable Team,[Retention] turn off experiments running on /firstrun,Shut off current [copy test](https://tree.taiga.io/project/malexis-mozillaorg-durable-team/us/2267?milestone=178079)Shut off current [image test](https://tree.taiga.io/project/malexis-mozillaorg-durable-team/us/2247?milestone=178079),Front End Developer
125501,Websites Durable Team,[Growth] [4/1] /new var for Portland campaign,https://bugzilla.mozilla.org/show_bug.cgi?id=1444000,Front End Developer
