ProjectId,ProjectName,Title,Description,Role
289231,TripleO CI (production),Code comment and document emit-releases,"When doing updates for stein in emit_releases we find it very confusing. We need an easier way to make changes for new releases.This is some work done to improve maintainability of upgrades in [review.openstack.org/#/c/648950](https://review.openstack.org/#/c/648950).This improvement can be combined to the scope of this story, which is about code comments on the upgrades in order to facilitate updates in emit_releases.",Team Catalyst
289231,TripleO CI (production),"On board the Performance / Browbeat team, add one bm environment",Add browbeat jobs in internal software factory to trigger off the promotion pipeline.,Team Member
289231,TripleO CI (production),make molecule execution multi-distro,,Team Member
289231,TripleO CI (production),Create the design doc for Ceph end to end gating,The Design Doc is up for review : https://hackmd.io/nnoFQSm7T-mDwa3wSl7zKg,User Advocate
289231,TripleO CI (production),Make train upgrade jobs functional in RDO and upstream,"Since tripleo has branched out stable/train branches, we have added respective jobs https://review.opendev.org/687004, we need to make sure train upgrade job is functional and also we need confirmation from upgrade team on that.",Team Member
289231,TripleO CI (production),Move scenario009 to standalone centos7,Test openshift on openstack on standalone,Team Member
289231,TripleO CI (production),Create standalone update centos7,"- fs056 is standalone upgrade already exists with a different workflow: https://github.com/openstack-infra/tripleo-ci/blob/master/zuul.d/standalone-jobs.yaml#L58-L61- create the standalone-update (overcloud) version of fs056 with its own workflow (ansible playbooks, update scripts) - this might require extra efforts on the standalone_update scripts/playbooks workflow[featureset matrix](https://docs.openstack.org/tripleo-quickstart/latest/feature-configuration.html)",Team Catalyst
289231,TripleO CI (production),cleanup te-broker role,"- remove all code that is not needed from te-broker role (only ovb-tenant-cleanup is likely to remain)- rename te-broker role/machine to something more generic and less confusing like: tripleo-ci-tools, tooler,...Note: work already done on this and  is likely to require very little efforth to finish (picking a new name for the te-broker machine/role is likely to take more than the rest).",Team Member
289231,TripleO CI (production),Publishing upstream nodepool images to all users,,Team Member
289231,TripleO CI (production),zuul config for triggering jobs from git pull requests,,Team Member
289231,TripleO CI (production),Manually configure new tenant by hand from scratch,https://softwarefactory-project.io/logs/63/13963/1/check/sf-docs-build/71307e5/docs-html/guides/standalone_tenant.html#tenant-config-repository-initializationDuplicate some of the rdo config.New dedicated tenant is empty and should be configured from scratch.,Team Catalyst
289231,TripleO CI (production),Discover if we are alone in the galaxy,"Starting this task on the advice of the ruck/rover this week.We actually need to determine how to deal with there being no pip (or python-pip) available on rhel and centos minimal images but discovering other life in the universe seemed like a more manageable task.In a hat-tip to our new methodology of tackling the smallest possible tasks, it was agreed to assume the quest of searching for alien life in preference to taking up the pip install fight again.To being with, we know we are not alone in the Ansible Galaxy ...",Team Member
289231,TripleO CI (production),Rename RDOCloud jobs to match upstream naming convention,"When working on adding a Fedora 28 job to the Centos 7 pipeline, we hit up against an assumption in using job_id that would not hold across pipelines running mixed distros.As such, we need to rework the job_id usage in the promoter .ini files and the job naming convention in RDO Cloud jobs.",Team Member
289231,TripleO CI (production),Use sf RPMs to at a zuul base docker image,"Right now we are using a pinned version from upstream zuul containers they run at an alpine base docker image, their original purpose was just to do some CI at zuul documentation running some command at a mini zuul, we have use that to the base our reproducer.To have use proper supported software we can try to use software factory RPMs + centos7 as the base of our reproducer, this US incldue a pair of files showing the idea.Another option is using a all-in-one container https://www.softwarefactory-project.io/software-factory-container-with-buildah-and-podman.html",Team Member
289231,TripleO CI (production),automate the libvirt workflow with stock cloud images,"We have two playbooks to setup libvirt nodes and connect them to nodepool, let's run them at reproducer install and generate the proper configuration so it's easier to implement the reproducer script.Doc with the manual steps and the proper revies to use[docs.google.com/document/d/1i1-_L2mx8_erETAVblchLnymC6-9h7A2x02begy99UQ/edit#heading=h.y43jf1eovbiz](https://docs.google.com/document/d/1i1-_L2mx8_erETAVblchLnymC6-9h7A2x02begy99UQ/edit#heading=h.y43jf1eovbiz)",Team Member
289231,TripleO CI (production),Regression Tests on Reproducer,"Regression testing for the reproducer bash scripts w/ the new zuul container changes Recently, changes to toci_gate.sh (not the jinja version) broke the current reproducer script (bash version).https://tree.taiga.io/project/tripleo-ci-board/issue/536?kanban-status=2027733https://review.openstack.org/#/c/626758/With the new zuul container reproducer, we need to make sure changes do not introduce any regressions like this in our current version of reproducer scripts (bash scripts).Do a regression testing on reproducer to make it work again.Make sure updates on sensitive files do not break the current reproducer.Add a pre-commit warning for sensitive files that may break the reproducer and needs to be tested manually.",Team Member
289231,TripleO CI (production),"Invoke all the upstream playbooks - pre-run, run-v3 and post in the reproducer","As part of the epic at [tripleo-ci-board/epic/5](https://tree.taiga.io/project/tripleo-ci-board/epic/5) this story is about using the zuul workflow variables in the reproducer script.Once the story at [tripleo-ci-board/us/53](https://tree.taiga.io/project/tripleo-ci-board/us/53) is completed, we will have access to the zuul job variables, pre-run:, parent etc. Here we track the work required to wire those into the reproducer. In particular:*   Cloning the required_projects*   Running parent pre-run: playbooks, then job pre-run.*   Running run-v3.yaml*   Implied by ^^^, ensure we are rendering the toci_*.j2 scripts correctly (all required variables should be available via [tripleo-ci-board/us/53](https://tree.taiga.io/project/tripleo-ci-board/us/53))",Steward
289231,TripleO CI (production),Manage containers for reproducer ( pinning ),"Container images that are included in reproducer could be broken that will prevent from people to use reproducer. We need to manage stable working versions of them.We need to build a new container images from SF repos, test them with our reproducer and then push it to a new namespace in docker.io/rdoci for usage.",Team Member
289231,TripleO CI (production),Create a all-tls job with full tempest,"Decided not to go with that, no need a full tempest job with tls.",Team Member
289231,TripleO CI (production),Migrate rdoinfo jobs,"rdoinfo jobs consist of two parts. One part is specific to rdoinfo tasks, the other is running quickstart to check, but only under certain conditions.This is not possibile at the moment, since run-v3 is a monolithic playbook that contains all the instruction and doesn't allow selective running of the parts.",Team Member
289231,TripleO CI (production),Bootstrap upstream jobs on internal SF,"Internal SF is broken and cannot run jobs after upstream reparenting. Need to fix the environment to run jobs again.Project: tripleo-ci-internalAdd pipeline, jobs and playbooks to run a copy of upstream jobs upstream.Bring up RHEL version of upstream jobs.Plus: add linters job",Team Catalyst
289231,TripleO CI (production),OVB CI improvements,,Team Member
289231,TripleO CI (production),Make tempest work on scenario standalone fedora 28 job,We hope we don't have to do anything,Steward
289231,TripleO CI (production),Clean up existing calls to install and setup in current workflow.,"Quickstart deployment model is to install and setup it every time you launch it. quickstart.sh is both the installer and the launcher. After separating the two functionality we need to rethink what quickstart.sh does, and remove all the installation parts, even if they refer to the installer now.",Steward
289231,TripleO CI (production),ovb test env demo with zuul,,Team Member
289231,TripleO CI (production),ovb repository not under gerrit and zuul,"tripleo-quickstart-extras is currently hosted only private github account of Ben Nemec at https://github.com/cybertron/openstack-virtual-baremetalIn addition to the security issue this imposed a new extenal single point of failure risk and also prevents us from running zuul jobs to test it. Even today we got a bug report about py3 incompatibility introduced by this repository.[13:53:19]  <honza>	I'm getting a python 3 syntax error when using reproducer, ie ""SyntaxError: Missing parentheses in call to 'print'""[13:53:22]  <honza>	Anyone seen that?[13:53:34]  <honza>	It's a fairly recent script[13:53:48]  <honza>	I tried changing the venv to use python3 but that didn't help[14:04:08]  <honza>	Here is a bug for it https://bugs.launchpad.net/tripleo/+bug/1805440We need to move this repository under openstack asap and include at least a minimal set of linting jobs to it, because this kind of issue would have being detected by simple linting.",Team Member
